year,tree,modalidad,area,carrera,campus,codigo,oferta,aspirantes,presentaron_examen,aciertos_minimos,seleccionados
2021,licenciatura,escolarizado,3,CIENCIAS POLITICAS Y ADMON PUBLICA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,30300045,65,735,606,89,67
2021,licenciatura,abierta,3,CIENCIAS POLITICAS Y ADMON PUBLICA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,30300046,92,225,157,50,111
2021,licenciatura,escolarizado,3,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,30302005,70,432,372,73,72
2021,licenciatura,escolarizado,3,COMUNICACION,FES ACATLÁN,31502005,80,927,789,84,85
2021,licenciatura,escolarizado,3,COMUNICACION Y PERIODISMO,FES ARAGÓN,31604005,145,1365,1173,76,149
2021,licenciatura,escolarizado,3,CONTADURIA,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,30400065,580,4863,4166,80,588
2021,licenciatura,abierta,3,CONTADURIA,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,30400066,125,710,475,69,128
2021,licenciatura,escolarizado,3,CONTADURIA,FES CUAUTITLÁN,30401005,325,1433,1239,62,335
2021,licenciatura,escolarizado,3,DERECHO,FACULTAD DE DERECHO,30500075,540,6167,5177,83,544
2021,licenciatura,abierta,3,DERECHO,FACULTAD DE DERECHO,30500076,315,927,648,56,322
2021,licenciatura,escolarizado,3,DERECHO,FES ACATLÁN,30502005,199,2304,1948,72,246
2021,licenciatura,abierta,3,DERECHO,FES ACATLÁN,30502006,130,301,228,48,130
2021,licenciatura,escolarizado,3,DERECHO,FES ARAGÓN,30504005,245,3326,2883,63,586
2021,licenciatura,abierta,3,DERECHO,FES ARAGÓN,30504006,105,449,324,55,119
2021,licenciatura,escolarizado,3,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,31805005,37,78,68,48,37
2021,licenciatura,escolarizado,3,DESARROLLO TERRITORIAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,32006005,57,15,13,40,12
2021,licenciatura,escolarizado,3,ECONOMIA,FACULTAD DE ECONOMÍA,30600085,475,1861,1553,75,482
2021,licenciatura,abierta,3,ECONOMIA,FACULTAD DE ECONOMÍA,30600086,100,246,148,59,103
2021,licenciatura,escolarizado,3,ECONOMIA,FES ACATLÁN,30602005,140,627,540,68,142
2021,licenciatura,escolarizado,3,ECONOMIA,FES ARAGÓN,30604005,130,711,617,68,138
2021,licenciatura,abierta,3,ECONOMIA,FES ARAGÓN,30604006,55,115,86,53,55
2021,licenciatura,escolarizado,3,ECONOMIA INDUSTRIAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,31306005,39,213,177,71,47
2021,licenciatura,escolarizado,3,ESTUDIOS SOCIALES Y GESTION LOCAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,31707005,29,15,13,42,13
2021,licenciatura,escolarizado,3,GEOGRAFIA,FACULTAD DE FILOSOFÍA Y LETRAS,30700105,35,91,79,52,57
2021,licenciatura,abierta,3,GEOGRAFIA,FACULTAD DE FILOSOFÍA Y LETRAS,30700106,28,59,35,44,34
2021,licenciatura,escolarizado,3,GEOGRAFIA APLICADA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,32200175,15,51,46,85,16
2021,licenciatura,escolarizado,3,GEOGRAFIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,32208005,29,8,6,41,6
2021,licenciatura,escolarizado,3,INFORMATICA,FES CUAUTITLÁN,30801005,75,514,453,69,79
2021,licenciatura,escolarizado,3,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,30904005,97,158,136,44,99
2021,licenciatura,escolarizado,3,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,31000045,55,1398,1154,100,56
